Collection Date,Process Date,Site,Body Weight (g),Gonad weight (g),Test Diameter (mm),Color Notes,Gender,Firmness,Other,Grade,Numerical Grade,Num Grade ,
1/29/2024,1/30/2024,ARQ,187.8,2.92,71.19,dark yellow,,firm,,C,3,2,
1/29/2024,1/30/2024,ARQ,234.3,5.96,82.02,dark yellow,,,,C,3,2,
1/29/2024,1/30/2024,ARQ,118.8,0,70.77,,,,empty,F,1,0,
1/29/2024,1/30/2024,ARQ,165.7,1.98,76.1,dark yellow,,,,C,3,2,
2/12/2024,2/13/2024,ARQ,123.9,1.61,65.65,pale yellow,male,firm,,B,4,3,
2/12/2024,2/13/2024,ARQ,129,1.4,63.07,pale yellow,,firm,,B,4,3,
2/12/2024,2/13/2024,ARQ,90.1,1.61,56.77,pale yellow,,firm,,B,4,3,
2/12/2024,2/13/2024,ARQ,291.7,11.91,89.27,bright orange,male,firm,,A,5,4,
2/12/2024,2/13/2024,ARQ,161.5,4.91,73.6,yellow,male,firm,,A,5,4,
2/12/2024,2/13/2024,ARQ,146,4.35,69.63,yellow,,firm,,A,5,4,
2/12/2024,2/13/2024,ARQ,249.9,4.51,80.36,dark yellow ,female,firm,,C,3,2,
2/12/2024,2/13/2024,ARQ,251.5,6.55,85.14,bright orange,male,firm,,A,5,4,
2/12/2024,2/13/2024,ARQ,125.9,2.82,66.33,pale yellow ,male ,firm,,B,4,3,
2/12/2024,2/13/2024,ARQ,103.6,2.34,58.1,yellow,female ,firm,,A,5,4,
3/18/2024,3/19/2024,ARQ,296.9,18.06,84.96,orange,male,firmish,,B,4,3,
3/18/2024,3/19/2024,ARQ,168.8,1.07,69.29,brown,male,firmish,,D,1,0,
3/18/2024,3/19/2024,ARQ,302.9,6.57,87.03,yellow,female,firm,,A,5,4,
3/18/2024,3/19/2024,ARQ,299.9,3.75,88.42,yellow brown,,firm,,C,3,2,
3/18/2024,3/19/2024,ARQ,345.6,8.27,91.2,yellow,,firm,,A,5,4,
3/18/2024,3/19/2024,ARQ,173.2,2.54,67.63,yellow,male,fiirmish,,B,4,3,
3/18/2024,3/19/2024,ARQ,194.4,8.28,72.38,orange,male,firmish,,B,4,3,
3/18/2024,3/19/2024,ARQ,204.8,3.37,73.46,yellow brown,,firmish,,C,3,2,
3/18/2024,3/19/2024,ARQ,56.5,0.21,47.94,pale yellow brown,,not firm,,D,2,1,
3/8/2024,3/8/2024,Mohawk,262.28,17.02,87.45,pale yellow brown,,firm,only 9 urchins collected due to rough conditions,D,2,1,
3/8/2024,3/8/2024,Mohawk,254.86,24.81,84.34,yellow,female,firm,,A,5,4,
3/8/2024,3/8/2024,Mohawk,318.3,22.39,87.58,orange yellow,male,firm,,A,5,4,
3/8/2024,3/8/2024,Mohawk,259.3,14.62,81.05,yellow,male,firm,,A,5,4,
3/8/2024,3/8/2024,Mohawk,117.6,7.88,63.34,yellow,female,firm,,A,5,4,
3/8/2024,3/8/2024,Mohawk,248,15.76,82.15,yellow,male,firm,,A,5,4,
3/8/2024,3/8/2024,Mohawk,382.9,34.52,94.14,yellow,male,firm,,A,5,4,
3/8/2024,3/8/2024,Mohawk,271.8,12.41,82.92,yellow,male,firm,,A,5,4,
3/8/2024,3/8/2024,Mohawk,199.28,13.13,79.52,yellow,male,not firm,,B,4,3,
4/12/2024,4/12/2024,ARQ,140.88,1.83,66.41,yellow,male,firm,,A,5,4,
4/12/2024,4/12/2024,ARQ,121.23,3.86,69.89,yellow orange,female,firm,,A,5,4,
4/12/2024,4/12/2024,ARQ,138.42,3.63,70.02,pale yellow brown,male,,,D,1,0,
4/12/2024,4/12/2024,ARQ,108.84,3.73,64.7,pale yellow brown,female,not firm,,D,1,0,
4/12/2024,4/12/2024,ARQ,163.88,7.73,73.77,bright yellow,female,not firm,,B,4,3,
4/12/2024,4/12/2024,ARQ,92.1,1.03,56.64,light yellow,male,not firm,,C,3,2,
4/12/2024,4/12/2024,ARQ,299.6,7.83,84.6,light orange,male,firm,,B,4,3,
4/12/2024,4/12/2024,ARQ,220.43,7.46,82.48,pale yellow ,male ,firm,,B,4,3,
4/12/2024,4/12/2024,ARQ,268.08,13.88,86.63,yellow,female,firm,,A,5,4,
4/9/2024,4/9/2024,Mohawk,296.06,31.11,90.6,orange,male,firm,,A,5,4,
4/9/2024,4/9/2024,Mohawk,196.96,4.56,76.8,yellow,male,firmish,,B,4,3,
4/9/2024,4/9/2024,Mohawk,427,25.94,99.5,yellow,male,firm,,A,5,4,
4/9/2024,4/9/2024,Mohawk,249,11.5,87.27,yellow,female,firm,,A,5,4,
4/9/2024,4/9/2024,Mohawk,420.3,20.96,92.34,yellow,female,firm,,A,5,4,
4/9/2024,4/9/2024,Mohawk,271.4,10.49,87.56,pale yellow ,female,firmish,,C,3,2,
4/9/2024,4/9/2024,Mohawk,149.2,5.58,71.71,yellow,male,firm,,A,5,4,
4/9/2024,4/9/2024,Mohawk,257,16.92,87.2,bright yellow,male,firm,,A,5,4,
4/9/2024,4/9/2024,Mohawk,550.5,25.68,110.6,pale/brown yellow,female,firmish,,C,3,2,
4/9/2024,4/9/2024,Mohawk,34.84,28.28,92.72,bright yellow,male ,firm,,A,5,4,
5/6/2024,5/7/2024,ARQ,139.17,1.51,69.19,pale yellow ,,firm,,A,5,4,
5/6/2024,5/7/2024,ARQ,142.09,3.96,67.5,pale yellow ,,firm,,A,5,4,
5/6/2024,5/7/2024,ARQ,217.2,5.39,76.08,bright yellow,male,firm,,A,5,4,
5/6/2024,5/7/2024,ARQ,274,4.03,89.96,pale yellow ,,firm,,A,5,4,
5/6/2024,5/7/2024,ARQ,198.6,5.72,83.2,bright yellow,male,firm,,A,5,4,
5/6/2024,5/7/2024,ARQ,276.9,8.1,86.87,orange,male,firm,,A,5,4,
5/6/2024,5/7/2024,ARQ,198.4,4.37,76.29,blood orange,male,runny,,B,4,3,
5/6/2024,5/7/2024,ARQ,330.21,27.65,89.66,bright yellow,male,firm,,A,5,4,
5/6/2024,5/7/2024,ARQ,228.22,7.14,79.16,brown,male,runny,,D,1,0,
5/10/2024,5/13/2024,Mohawk,263.83,27.6,77.55,bright orange,male,firm,,A,5,4,
5/10/2024,5/13/2024,Mohawk,231.53,17.19,73.57,yellow,male,firm,,A,5,4,
5/10/2024,5/13/2024,Mohawk,188.19,20.34,73.62,orange,female,runny,,B,4,3,
5/10/2024,5/13/2024,Mohawk,258.03,19.18,85.16,orange,male,firm,,A,5,4,
5/10/2024,5/13/2024,Mohawk,207.33,12.23,78.62,orange,male,firm,,A,5,4,
5/10/2024,5/13/2024,Mohawk,414.42,28.5,105.33,yellow,male,firm,,A,5,4,
5/10/2024,5/13/2024,Mohawk,275.04,29.81,87.84,orange,male,firm,,A,5,4,
6/4/2024,6/4/2024,Mohawk,378.22,41.36,91.35,gold,female,firm,,A,5,4,
6/4/2024,6/4/2024,Mohawk,246.82,38.42,76.86,yellow/orange,male,firm,,A,5,4,
6/4/2024,6/4/2024,Mohawk,211.45,27.86,76.14,yellow orange,male,runny,,B,4,3,
6/4/2024,6/4/2024,Mohawk,248.55,36.22,85.84,pale yellow,female,firm,,B,4,3,
6/4/2024,6/4/2024,Mohawk,227.02,20.82,83.08,pale yellow,male,firm,,B,4,3,
6/4/2024,6/4/2024,Mohawk,230.15,27.76,80.78,yellow,male,firm,,A,5,4,
6/4/2024,6/4/2024,Mohawk,268.59,45.71,86.13,gold,female,firm,,A,5,4,
6/4/2024,6/4/2024,Mohawk,310.8,49.04,90.14,gold,male,firm,,A,5,4,
6/4/2024,6/4/2024,Mohawk,207.44,13.85,78.03,pale yellow,male,firmish,,C,3,2,
